Card,Avg Location
2H,25.838
2D,25.052
2C,26.059
2S,25.463
3H,26.618
3D,25.517
3C,25.374
3S,26.086
4H,26.077
4D,27.06
4C,26.18
4S,25.72
5H,26.12
5D,26.119
5C,25.894
5S,25.604
6H,25.641
6D,26.056
6C,25.917
6S,25.523
7H,26.45
7D,25.897
7C,26.211
7S,25.833
8H,25.704
8D,26.716
8C,25.677
8S,26.803
9H,25.984
9D,26.216
9C,25.863
9S,26.941
TH,25.313
TD,26.353
TC,26.268
TS,26.648
JH,25.067
JD,26.488
JC,26.68
JS,26.116
QH,25.999
QD,26.381
QC,25.733
QS,26.654
KH,26.786
KD,25.633
KC,25.513
KS,25.726
AH,25.68
AD,25.406
AC,26.525
AS,24.818
